t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
621295010,9.873688,-0.15801731,-0.009576807,-0.012770702,0.014899152,0.006385351,9.3,32.25,53.55,28.09258,25.827404,85794.1,1381.6178,-5.746084,4.7884035,4.7884035
621328012,9.830592,-0.16759412,0.04309563,-0.005321126,0.011706477,0.004256901,10.2,31.65,54.45,28.140503,25.82757,85794.625,1381.5684,-4.7884035,5.746084,11.492168
621361010,9.68694,-0.19153613,-0.009576807,-0.006385351,0.013834927,-0.0010642252,10.05,32.55,54.6,27.948812,25.828577,85794.76,1381.5552,-2.873042,1.9153614,6.703765
621394010,9.844957,-0.25857377,-0.01436521,-0.007449576,0.011706477,0.007449576,10.5,32.85,54,28.23635,25.829329,85794.29,1381.6,-0.9576807,2.873042,3.8307228
621427010,9.974244,-0.22984336,0.019153614,-0.008513802,0.015963377,-0.0021284504,11.1,31.8,56.4,28.428041,25.82887,85795.164,1381.5166,-3.8307228,3.8307228,5.746084
621460012,9.89763,-0.11492168,-0.0047884034,-0.008513802,0.011706477,0.0021284504,9.3,33.3,54.6,28.140503,25.82911,85795.23,1381.5109,-1.9153614,6.703765,9.576807
621493010,9.749189,-0.17238252,0.023942016,-0.005321126,0.012770702,0.005321126,10.5,33.6,54.75,28.140503,25.830025,85794.836,1381.5476,-3.8307228,-2.873042,0.9576807
621526012,9.682152,-0.16280572,0.033518825,-0.007449576,0.018091828,0.0021284504,9.6,33,53.85,28.475964,25.83129,85794.516,1381.5787,-4.7884035,-0.9576807,9.576807
621559010,9.888053,-0.21547815,-0.009576807,-0.009578027,0.011706477,0.0021284504,9.6,32.55,54.9,27.90089,25.830923,85794.01,1381.6271,-2.873042,2.873042,5.746084
621592010,9.892841,-0.24899697,0.019153614,-0.011706477,0.006385351,0.0031926755,10.95,32.85,53.4,28.140503,25.831234,85794.19,1381.6093,-6.703765,3.8307228,5.746084
621625012,9.854534,-0.21547815,0.019153614,-0.005321126,0.006385351,0.007449576,9.45,32.85,53.7,28.380117,25.831766,85794.234,1381.6052,-2.873042,-0.9576807,7.6614456
621658010,9.739613,-0.17238252,-0.019153614,-0.011706477,0.013834927,-0.0021284504,10.65,33,53.1,28.140503,25.832169,85794.414,1381.5879,-0.9576807,6.703765,0
621691012,9.710882,-0.17717093,0.02873042,-0.009578027,0.013834927,0,10.65,33,53.55,28.475964,25.832169,85794.055,1381.6224,-0.9576807,0.9576807,14.365211
621724010,9.840169,-0.2825158,0.04309563,-0.006385351,0.018091828,0.0021284504,10.95,32.4,55.5,28.428041,25.832169,85794.07,1381.6213,-6.703765,2.873042,15.322891
621757012,9.873688,-0.23463176,0.009576807,-0.007449576,0.015963377,0.006385351,8.85,33,55.35,28.284273,25.832756,85794.5,1381.5798,-2.873042,2.873042,8.619126
621856010,9.80665,-0.17717093,0.019153614,-0.0031926755,0.013834927,0.006385351,9.45,31.95,54.45,28.428041,25.833544,85795.17,1381.516,-0.9576807,5.746084,1.9153614
621889010,9.844957,-0.22984336,-0.019153614,-0.005321126,0.010642252,0.0010642252,10.5,32.4,54.45,28.380117,25.834661,85795.5,1381.4844,-3.8307228,2.873042,8.619126
621922010,9.825804,-0.22984336,0.038307227,-0.009578027,0.010642252,0.0031926755,10.35,33,53.55,28.284273,25.834917,85795.336,1381.4999,-6.703765,4.7884035,5.746084
621955012,9.80665,-0.19632454,0.038307227,-0.008513802,0.018091828,0.009578027,10.65,32.55,53.85,28.140503,25.834679,85795.414,1381.4924,-0.9576807,6.703765,4.7884035
621988010,9.730036,-0.17717093,0.095768064,-0.009578027,0.012770702,0.0021284504,10.2,31.95,53.7,28.09258,25.83479,85795.1,1381.523,1.9153614,10.534488,3.8307228
622021012,9.763555,-0.20111294,0.047884032,-0.007449576,0.010642252,0.004256901,10.35,32.25,53.85,28.619732,25.834717,85795.414,1381.4924,1.9153614,4.7884035,11.492168
622054010,9.935937,-0.19153613,-0.02873042,-0.005321126,0.010642252,0.0021284504,10.35,33.75,52.8,28.380117,25.834955,85795.85,1381.4515,-0.9576807,5.746084,6.703765
622087010,9.859323,-0.1340753,0.02873042,-0.011706477,0.011706477,0.005321126,10.35,32.55,53.1,28.140503,25.835138,85795.45,1381.489,-4.7884035,8.619126,3.8307228
622132976,9.65821,-0.19632454,0.05267244,-0.010642252,0.012770702,0,9.75,31.95,55.8,28.09258,25.835283,85795.88,1381.4481,2.873042,3.8307228,7.6614456
622165115,9.701305,-0.22505496,0.0047884034,-0.009578027,0.015963377,0.006385351,9.3,31.8,53.85,28.044659,25.832462,85794.59,1381.5713,-5.746084,8.619126,0
622198011,9.921572,-0.23942018,-0.023942016,-0.0031926755,0.012770702,0.007449576,10.5,32.4,53.4,28.284273,25.830044,85794.58,1381.5724,-0.9576807,9.576807,11.492168
622231012,9.907207,-0.14844051,0.009576807,-0.008513802,0.012770702,0.0021284504,7.95,30.9,54,28.09258,25.828228,85794.14,1381.6138,-3.8307228,9.576807,8.619126
622264010,9.811439,-0.15801731,-0.033518825,0.0010642252,0.011706477,0.0031926755,9,31.2,53.4,28.044659,25.828192,85795.08,1381.5247,-1.9153614,5.746084,7.6614456
622297012,9.739613,-0.17717093,-0.023942016,-0.007449576,0.013834927,0.0021284504,9.75,32.4,54.45,28.140503,25.82845,85794.555,1381.5747,-4.7884035,5.746084,11.492168
622330010,9.725247,-0.19632454,0.06703765,-0.012770702,0.012770702,0.004256901,10.65,32.25,55.35,28.09258,25.828796,85794.18,1381.6104,-2.873042,9.576807,12.449849
622363010,9.92636,-0.21068975,-0.07182605,-0.014899152,0.034055207,-0.03299098,10.35,33,54.3,28.23635,25.829933,85794.375,1381.5919,1.9153614,5.746084,10.534488
622396010,9.873688,-0.10055647,0.009576807,-0.008513802,0.03511943,-0.036183655,10.65,31.5,53.55,28.23635,25.830795,85793.94,1381.6334,-6.703765,7.6614456,4.7884035
622429012,9.706094,0.06703765,0.05746084,-0.007449576,0.024477178,-0.012770702,9.75,32.4,54.45,28.09258,25.832169,85793.91,1381.6362,-4.7884035,11.492168,15.322891
622462010,9.691729,-0.019153614,0.04309563,-0.0031926755,0.0010642252,0.018091828,9.45,31.65,54.45,28.428041,25.832462,85793.875,1381.6398,-2.873042,0,7.6614456
622495010,9.797073,-0.2777274,-0.10534488,-0.011706477,0.013834927,0.012770702,11.1,30.75,54.3,28.380117,25.83356,85794.47,1381.5828,-5.746084,3.8307228,9.576807
622528012,9.868899,-0.3878607,0.19632454,-0.010642252,0.027669854,-0.014899152,11.1,33,53.1,28.428041,25.833946,85794.38,1381.5908,-1.9153614,4.7884035,6.703765
622561010,9.859323,-0.06703765,0.08140286,-0.008513802,0.019156054,-0.0010642252,10.95,31.65,53.4,28.23635,25.834387,85794.65,1381.566,-6.703765,-0.9576807,5.746084
622594010,9.816227,-0.35913026,0.009576807,-0.005321126,0.029798305,-0.028734079,8.85,30.75,54.9,28.044659,25.834862,85795.45,1381.489,-1.9153614,3.8307228,1.9153614
622627012,9.653421,-0.19632454,0.10055647,-0.009578027,0.04363323,-0.046825908,11.1,32.55,53.1,28.284273,25.83521,85794.61,1381.5696,-0.9576807,5.746084,5.746084
622660010,9.744401,0.04309563,0.15322891,-0.007449576,0.019156054,-0.0031926755,9.45,31.95,53.7,28.380117,25.835047,85793.88,1381.6385,-1.9153614,4.7884035,0.9576807
622693010,9.797073,0.019153614,0.19153613,-0.0031926755,-0.013834927,0.054275483,8.4,32.85,52.95,28.09258,25.83477,85794.18,1381.6104,-1.9153614,10.534488,9.576807
622726012,9.9550905,-0.5554548,-0.023942016,-0.022348728,-0.014899152,0.05214703,10.2,31.95,54.45,28.380117,25.835283,85794.695,1381.5615,-9.576807,6.703765,4.7884035
622759007,9.734824,-0.10055647,0.15801731,-0.011706477,-0.007449576,0.040440556,10.2,32.4,54,28.284273,25.835247,85794.85,1381.5465,-0.9576807,4.7884035,13.40753
622792011,9.682152,0.08140286,0.04309563,-0.03724788,-0.026605628,0.076624215,10.5,32.85,55.2,28.428041,25.834917,85794.76,1381.5552,-0.9576807,2.873042,11.492168
