t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
53096007,9.825804,0.272939,-0.7134721,-0.005321126,-0.123450115,-0.036183655,6,50.55,25.05,28.044659,25.572327,92727.11,741.7631,-4.7884035,8.619126,1.9153614
53129010,9.773131,0.59855044,-0.8331822,-0.007449576,-0.14686307,-0.04789013,7.05,53.55,25.8,27.613352,25.573372,92726.54,741.8144,-3.8307228,2.873042,-3.8307228
53162011,9.797073,0.8283938,-1.5801731,-0.008513802,-0.13941349,-0.040440556,7.95,51.9,25.95,28.044659,25.573702,92726.586,741.8101,-2.873042,-0.9576807,10.534488
53195011,9.639056,1.1204864,-1.7621324,-0.018091828,-0.111743644,-0.015963377,8.55,52.5,24.6,27.90089,25.573957,92726.48,741.8198,-3.8307228,-0.9576807,8.619126
53228011,9.667787,0.8331822,-1.9680338,-0.008513802,-0.071303084,-0.0021284504,6.9,50.7,24.45,27.613352,25.573866,92726.484,741.8193,-0.9576807,5.746084,4.7884035
53261011,9.562442,0.8475474,-1.6998832,-0.008513802,-0.018091828,0.0031926755,7.2,53.1,24.45,28.09258,25.574526,92726.65,741.8047,-0.9576807,0.9576807,10.534488
53294011,9.634268,0.81402856,-1.4077905,-0.0010642252,-0.0010642252,0.007449576,8.1,53.55,24.6,27.948812,25.574434,92726.055,741.85767,-1.9153614,2.873042,4.7884035
53327011,9.595961,0.8283938,-1.3551182,-0.030862529,-0.0031926755,0.014899152,7.8,52.8,23.55,28.044659,25.575533,92726.445,741.8225,-0.9576807,7.6614456,7.6614456
53360011,9.739613,0.8283938,-1.1444284,-0.021284504,-0.013834927,0.015963377,6.75,54,24.6,27.852966,25.576212,92727.01,741.7723,-0.9576807,4.7884035,0.9576807
53393011,9.639056,0.7661445,-1.3503298,-0.024477178,-0.022348728,0.025541404,8.1,53.55,23.25,27.852966,25.576284,92727.04,741.7696,-3.8307228,8.619126,0
53426011,9.543288,0.8523358,-1.3551182,-0.025541404,-0.029798305,0.026605628,8.4,54.15,23.7,27.90089,25.576927,92726.46,741.8215,-6.703765,1.9153614,6.703765
