t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
34640961,-0.253785,2.044648,9.006987,-0.035119,-0.020220,-0.350130,35.250,5.850,112.050,24.79,22.97,97172.71,351.588,8.619126,4.788404,15.322891
34723561,-0.536301,0.775721,10.002975,-0.228808,0.079817,-0.143670,35.250,5.100,112.050,25.41,22.97,97173.37,351.532,9.576807,1.915361,18.195932
34747232,-0.550666,0.761356,10.017340,-0.017028,0.174533,-0.108551,36.900,4.500,111.450,25.41,22.96,97172.94,351.568,6.703765,1.915361,15.322891
34776952,-0.426168,1.000776,10.170568,0.155377,0.176661,-0.139413,36.600,4.650,112.350,25.22,22.95,97174.01,351.476,9.576807,9.576807,11.492168
34806130,-0.761356,1.527501,9.955091,0.295855,0.056404,-0.326717,36.000,5.100,112.350,25.41,22.95,97173.37,351.532,11.492168,-0.957681,6.703765
34836024,-0.751779,1.096544,9.634268,0.337359,-0.094716,-0.389506,35.400,4.200,111.150,25.07,22.95,97173.16,351.550,11.492168,-4.788404,15.322891
34867090,-0.507571,1.920150,8.456321,0.211781,-0.107487,-0.259671,35.100,4.950,112.200,25.31,22.96,97173.10,351.554,8.619126,2.873042,16.280571
34897027,-0.526724,0.799663,10.845734,-0.246900,-0.576810,-0.339488,35.700,4.950,110.400,25.31,22.96,97173.47,351.523,9.576807,1.915361,17.238253
34926033,-1.383849,0.986411,12.780249,-0.171340,-0.251157,-0.241579,33.450,5.100,113.400,25.27,22.96,97172.72,351.588,9.576807,-0.957681,11.492168
34955952,0.320823,0.593762,11.137826,0.006385,-0.078753,-0.268185,34.050,3.900,112.050,25.22,22.97,97173.04,351.559,4.788404,10.534488,11.492168
34984943,0.502782,0.924162,7.599196,-0.257542,-0.454424,-0.334167,34.800,4.350,111.600,25.27,22.97,97171.94,351.655,11.492168,2.873042,14.365211
35014050,-1.819593,1.498770,10.132261,-0.087266,-0.566168,-0.127707,31.950,5.100,112.350,25.46,22.97,97171.86,351.661,6.703765,-1.915361,19.153614
35043957,2.169147,0.009577,8.968679,0.036184,-0.585324,0.264992,31.500,3.900,113.850,25.07,22.98,97172.12,351.639,11.492168,2.873042,20.111294
35072912,0.378284,2.470816,9.830592,0.190496,-0.470388,0.167083,31.950,3.900,112.650,25.27,22.98,97172.43,351.612,7.661446,-0.957681,15.322891
35104359,-0.086191,2.336741,9.998186,-0.406534,-0.988665,-0.013835,32.100,5.250,111.450,25.31,22.98,97173.49,351.520,1.915361,2.873042,22.026655
35138359,1.307234,0.914585,11.348516,-0.328846,-0.755600,0.054275,30.300,3.300,112.950,25.31,22.99,97172.72,351.588,3.830723,4.788404,15.322891
35171359,1.551443,0.852336,12.349293,-0.218166,-0.163891,0.259671,29.250,3.750,112.950,25.31,22.99,97172.49,351.607,-1.915361,11.492168,12.449849
35204359,1.110910,0.962469,11.654974,-0.081945,0.431011,0.422497,28.200,2.400,112.650,25.50,22.99,97172.73,351.587,2.873042,9.576807,11.492168
35238359,1.201889,-0.215478,10.989386,0.126643,0.503379,0.582131,30.300,3.300,111.750,25.12,22.99,97172.34,351.619,3.830723,-1.915361,10.534488
35271359,0.636858,0.727837,10.975020,0.359708,0.437397,0.921619,30.450,2.850,113.400,25.31,22.99,97171.34,351.706,6.703765,2.873042,13.407530
